ダウンロードした時刻：2021/09/15 19:31:50

,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2021/1/1,4.6,8,1,0,1,8,1
2021/1/2,5.6,8,1,0,1,8,1
2021/1/3,6.1,8,1,0,1,8,1
2021/1/4,6.1,8,1,0,1,8,1
2021/1/5,6.1,8,1,0,1,8,1
2021/1/6,6.8,8,1,0.0,0,8,1
2021/1/7,3.3,8,1,1.0,0,8,1
2021/1/8,0.2,8,1,0.0,0,8,1
2021/1/9,0.9,8,1,0,1,8,1
2021/1/10,2.5,8,1,0,1,8,1
2021/1/11,3.4,8,1,0,1,8,1
2021/1/12,3.2,8,1,3.5,0,8,1
2021/1/13,5.5,8,1,0,1,8,1
2021/1/14,7.5,8,1,0,1,8,1
2021/1/15,9.3,8,1,0,1,8,1
2021/1/16,8.6,8,1,0.5,0,8,1
2021/1/17,6.8,8,1,0.0,0,8,1
2021/1/18,4.6,8,1,0.0,0,8,1
2021/1/19,4.1,8,1,0.0,0,8,1
2021/1/20,4.7,8,1,0,1,8,1
2021/1/21,7.2,8,1,0,1,8,1
2021/1/22,8.5,8,1,7.0,0,8,1
2021/1/23,8.6,8,1,26.5,0,8,1
2021/1/24,8.3,8,1,12.0,0,8,1
2021/1/25,10.1,8,1,0.0,0,8,1
2021/1/26,12.1,8,1,7.5,0,8,1
2021/1/27,11.6,8,1,6.5,0,8,1
2021/1/28,8.6,8,1,0.0,0,8,1
2021/1/29,3.8,8,1,0.0,0,8,1
2021/1/30,4.8,8,1,0,1,8,1
2021/1/31,7.7,8,1,0.0,0,8,1
2021/2/1,7.9,8,1,11.0,0,8,1
2021/2/2,9.5,8,1,8.0,0,8,1
2021/2/3,5.7,8,1,0,1,8,1
2021/2/4,6.7,8,1,0.0,0,8,1
2021/2/5,7.3,8,1,0,1,8,1
2021/2/6,10.8,8,1,0,1,8,1
2021/2/7,9.6,8,1,0.0,0,8,1
2021/2/8,6.8,8,1,0.0,0,8,1
2021/2/9,4.7,8,1,0.0,0,8,1
2021/2/10,7.8,8,1,0.0,0,8,1
2021/2/11,9.8,8,1,0,1,8,1
2021/2/12,10.1,8,1,0,1,8,1
2021/2/13,13.7,8,1,0,1,8,1
2021/2/14,14.5,8,1,0.0,0,8,1
2021/2/15,13.1,8,1,24.0,0,8,1
2021/2/16,8.4,8,1,0.0,0,8,1
2021/2/17,3.9,8,1,0.5,0,8,1
2021/2/18,2.6,8,1,0.0,0,8,1
2021/2/19,5.1,8,1,0.0,0,8,1
2021/2/20,10.0,8,1,0,1,8,1
2021/2/21,13.6,8,1,0,1,8,1
2021/2/22,14.7,8,1,0,1,8,1
2021/2/23,10.5,8,1,0,1,8,1
2021/2/24,6.3,8,1,0,1,8,1
2021/2/25,7.5,8,1,0,1,8,1
2021/2/26,7.6,8,1,1.5,0,8,1
2021/2/27,6.7,8,1,0,1,8,1
2021/2/28,9.5,8,1,0,1,8,1
2021/3/1,14.3,8,1,0,1,8,1
2021/3/2,10.3,8,1,34.5,0,8,1
2021/3/3,6.8,8,1,0.0,0,8,1
2021/3/4,11.0,8,1,0.0,0,8,1
2021/3/5,12.0,8,1,8.5,0,8,1
2021/3/6,11.7,8,1,0.0,0,8,1
2021/3/7,8.5,8,1,0.0,0,8,1
2021/3/8,8.5,8,1,2.5,0,8,1
2021/3/9,9.2,8,1,0,1,8,1
2021/3/10,11.1,8,1,0,1,8,1
2021/3/11,10.2,8,1,0,1,8,1
2021/3/12,11.9,8,1,12.0,0,8,1
2021/3/13,11.5,8,1,11.5,0,8,1
2021/3/14,10.8,8,1,0,1,8,1
2021/3/15,11.8,8,1,0,1,8,1
2021/3/16,13.8,8,1,0.0,0,8,1
2021/3/17,12.1,8,1,0,1,8,1
2021/3/18,11.4,8,1,0,1,8,1
2021/3/19,13.3,8,1,0,1,8,1
2021/3/20,15.4,8,1,0.0,0,8,1
2021/3/21,14.4,8,1,48.0,0,8,1
2021/3/22,10.1,8,1,1.5,0,8,1
2021/3/23,10.3,8,1,0,1,8,1
2021/3/24,13.5,8,1,0,1,8,1
2021/3/25,14.0,8,1,0.5,0,8,1
2021/3/26,13.4,8,1,0,1,8,1
2021/3/27,14.0,8,1,0,1,8,1
2021/3/28,15.8,8,1,26.5,0,8,1
2021/3/29,16.6,8,1,0,1,8,1
2021/3/30,16.5,8,1,0,1,8,1
2021/3/31,15.3,8,1,0,1,8,1
2021/4/1,16.3,8,1,0,1,8,1
2021/4/2,18.8,8,1,0,1,8,1
2021/4/3,18.0,8,1,0,1,8,1
2021/4/4,17.0,8,1,25.5,0,8,1
2021/4/5,12.4,8,1,0.0,0,8,1
2021/4/6,11.5,8,1,4.0,0,8,1
2021/4/7,14.2,8,1,0.0,0,8,1
2021/4/8,14.9,8,1,0.0,0,8,1
2021/4/9,11.9,8,1,0,1,8,1
2021/4/10,11.1,8,1,0,1,8,1
2021/4/11,13.7,8,1,0,1,8,1
2021/4/12,16.7,8,1,0,1,8,1
2021/4/13,17.9,8,1,5.0,0,8,1
2021/4/14,14.7,8,1,7.0,0,8,1
2021/4/15,13.3,8,1,0,1,8,1
2021/4/16,16.2,8,1,0.5,0,8,1
2021/4/17,13.8,8,1,59.5,0,8,1
2021/4/18,12.2,8,1,0.5,0,8,1
2021/4/19,13.5,8,1,0,1,8,1
2021/4/20,17.0,8,1,0,1,8,1
2021/4/21,19.3,8,1,0,1,8,1
2021/4/22,19.4,8,1,0,1,8,1
2021/4/23,18.1,8,1,0,1,8,1
2021/4/24,18.0,8,1,0,1,8,1
2021/4/25,16.8,8,1,0,1,8,1
2021/4/26,13.5,8,1,0,1,8,1
2021/4/27,15.5,8,1,0,1,8,1
2021/4/28,16.8,8,1,17.0,0,8,1
2021/4/29,15.3,8,1,105.0,0,8,1
2021/4/30,18.0,8,1,0,1,8,1
2021/5/1,18.3,8,1,7.5,0,8,1
2021/5/2,14.1,8,1,1.0,0,8,1
2021/5/3,15.7,8,1,0,1,8,1
2021/5/4,18.5,8,1,0,1,8,1
2021/5/5,17.3,8,1,27.0,0,8,1
2021/5/6,19.2,8,1,0,1,8,1
2021/5/7,17.6,8,1,2.0,0,8,1
2021/5/8,18.7,8,1,0,1,8,1
2021/5/9,20.5,8,1,0,1,8,1
2021/5/10,19.1,8,1,0,1,8,1
2021/5/11,18.9,8,1,0.0,0,8,1
2021/5/12,17.7,8,1,7.0,0,8,1
